Initial Year,Player,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Blocks,Clean Sheets,Clearances,Corners Taken,Crosses,Errors Leading To Goal,Goal Kicks,Goals Conceded,Goals From Freekick,Goals From Header,Goals From Penalty,Goals,Headed Clearances,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Minutes Played,Offsides,Own Goals,Passes,Penalties Conceded,Penalties Saved,Punches,Red Cards,Saves,Shots On Target,Shots,Substituted Off,Substituted On,Sweeper Clearances,Tackles,Through Balls,Throw Outs,Touches,Yellow Cards
2021,5961,0.0730909090909091,0.056,0.012,0.001090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007272727272727,0.0007272727272727,0.0043636363636363,0.0,0.0,0.001090909090909,0.0,0.0,2750.0,0.0087272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141818181818181,0.0254545454545454,0.0036363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Tomás Soucek,0.0470897923369406,0.0684410646387832,0.0111143609242468,0.0,0.0052646972799064,0.0,0.0298332845861362,0.0,0.0,0.0,0.0,0.0,0.0,0.000877449546651,0.0,0.0029248318221702,0.0204738227551915,0.0,0.0,0.0181339572974553,0.0,3419.0,0.0,0.000292483182217,0.4700204738227552,0.000292483182217,0.0,0.0,0.000292483182217,0.0,0.0067271131909915,0.0187189236618894,0.0,0.0,0.0,0.0228136882129277,0.0,0.0,0.6390757531441942,0.0020473822755191
2021,4253,0.0525615021245809,0.0690712047149942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020215962355608,0.0,0.003369327059268,0.0114557120015112,0.0,0.0010107981177804,0.0,0.0,2967.9517078916374,0.0047170578829752,0.0,0.0,0.0,0.0,0.0,0.0003369327059268,0.0,0.0114557120015112,0.0239222221208028,0.0030323943533412,0.0030323943533412,0.0,0.0,0.0,0.0,0.0,0.0
2021,6180,0.0468609191949534,0.0408531090417542,0.0111144487834184,0.0015019525382997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009011715229798,0.0003003905076599,0.0042054671072394,0.0,0.0,0.0021027335536197,0.0,0.0,3329.0,0.0093121057374586,0.0,0.0,0.0,0.0,0.0,0.0003003905076599,0.0,0.0135175728446981,0.0291378792430159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4908,0.0469728601252609,0.0535838552540013,0.011482254697286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024356297842727,0.0,0.0055671537926235,0.010786360473208,0.0,0.0003479471120389,0.0,0.0,2874.0,0.0062630480167014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0160055671537926,0.0288796102992345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Ché Adams,0.0497568275346053,0.0202020202020202,0.0134680134680134,0.0018705574261129,0.0,0.0,0.0,0.0,0.0,0.0003741114852225,0.0,0.0,0.0,0.0,0.0,0.0033670033670033,0.0,0.0,0.0003741114852225,0.0,0.0,2673.0,0.0071081182192293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115974560419004,0.0205761316872428,0.0052375607931163,0.0,0.0,0.0,0.0026187803965581,0.0,0.0,0.0
2021,4036,0.0414427228289965,0.0468336461238253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369327059268,0.0,0.0,0.0090971830600236,0.0,0.0,0.0,0.0,2967.9517078916374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043801251770484,0.0,0.0,0.0037062597651948,0.0,0.0,0.0,0.0,0.0,0.0
2021,3868,0.0400949920052893,0.0279654145919244,0.0,0.0006738654118536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003369327059268,0.0013477308237072,0.0,0.0,0.0,0.0,0.0,2967.9517078916374,0.0020215962355608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070755868244628,0.0148250390607792,0.0043801251770484,0.0026954616474144,0.0,0.0,0.0,0.0,0.0,0.0
2021,5814,0.0387472611815821,0.0296500781215584,0.011792644707438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006738654118536,0.0,0.0026954616474144,0.0,0.0,0.0,0.0,0.0,2967.9517078916374,0.0057278560007556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080863849422432,0.0239222221208028,0.0040431924711216,0.0,0.0,0.0,0.0,0.0,0.0,0.0023585289414876
2021,3363,0.0369529983792544,0.0246353322528363,0.0113452188006482,0.0045380875202593,0.0035656401944894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012965964343598,0.0012965964343598,0.0074554294975688,0.0113452188006482,0.0,0.0029173419773095,0.0,0.0,3085.0,0.0042139384116693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171799027552674,0.0444084278768233,0.0,0.0,0.0,0.0,0.0019448946515397,0.0,0.0,0.0
2021,4930,0.0320086070630461,0.0,0.0111187792955844,0.0010107981177804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.9517078916374,0.001684663529634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037062597651948,0.0,0.0037062597651948,0.003369327059268,0.0,0.0,0.0,0.0,0.0,0.0013477308237072
